Type	ImageSize	KernelSize	AvgTime
Gauss_Frequency	220x220	3x3	0.0221324
Gauss_Frequency	220x220	9x9	0.0144289
Gauss_Frequency	220x220	27x27	0.0273716
Gauss_Frequency	220x220	49x49	0.0466198
Gauss_Frequency	220x220	81x81	0.0144442
Gauss_Frequency	220x220	243x243	0.0575114
Gauss_Frequency	220x220	399x399	0.361888
Gauss_Frequency	220x220	511x511	0.384245
Gauss_Frequency	220x220	729x729	0.690595
Gauss_Frequency	220x220	1023x1023	0.54668
Gauss_Frequency	384x256	3x3	0.10643
Gauss_Frequency	384x256	9x9	0.0217627
Gauss_Frequency	384x256	27x27	0.0540483
Gauss_Frequency	384x256	49x49	0.0259381
Gauss_Frequency	384x256	81x81	0.0393028
Gauss_Frequency	384x256	243x243	0.527179
Gauss_Frequency	384x256	399x399	0.360557
Gauss_Frequency	384x256	511x511	1.58802
Gauss_Frequency	384x256	729x729	0.940978
Gauss_Frequency	384x256	1023x1023	1.17746
Gauss_Frequency	480x361	3x3	0.204005
Gauss_Frequency	480x361	9x9	0.0923954
Gauss_Frequency	480x361	27x27	0.0801401
Gauss_Frequency	480x361	49x49	0.391377
Gauss_Frequency	480x361	81x81	0.0521958
Gauss_Frequency	480x361	243x243	0.229607
Gauss_Frequency	480x361	399x399	1.35921
Gauss_Frequency	480x361	511x511	0.435797
Gauss_Frequency	480x361	729x729	1.11196
Gauss_Frequency	480x361	1023x1023	10.5212
Gauss_Frequency	512x512	3x3	0.574807
Gauss_Frequency	512x512	9x9	0.0626893
Gauss_Frequency	512x512	27x27	0.660008
Gauss_Frequency	512x512	49x49	0.0633756
Gauss_Frequency	512x512	81x81	0.142165
Gauss_Frequency	512x512	243x243	0.251919
Gauss_Frequency	512x512	399x399	0.255844
Gauss_Frequency	512x512	511x511	0.798117
Gauss_Frequency	512x512	729x729	0.616033
Gauss_Frequency	512x512	1023x1023	1.64688
Gauss_Frequency	766x395	3x3	0.526411
Gauss_Frequency	766x395	9x9	0.139059
Gauss_Frequency	766x395	27x27	0.619039
Gauss_Frequency	766x395	49x49	0.747833
Gauss_Frequency	766x395	81x81	0.154854
Gauss_Frequency	766x395	243x243	0.17693
Gauss_Frequency	766x395	399x399	0.741594
Gauss_Frequency	766x395	511x511	1.21392
Gauss_Frequency	766x395	729x729	8.44727
Gauss_Frequency	766x395	1023x1023	3.11015
Gauss_Frequency	800x600	3x3	0.934857
Gauss_Frequency	800x600	9x9	0.293041
Gauss_Frequency	800x600	27x27	0.847117
Gauss_Frequency	800x600	49x49	0.196706
Gauss_Frequency	800x600	81x81	0.150569
Gauss_Frequency	800x600	243x243	3.45743
Gauss_Frequency	800x600	399x399	5.5376
Gauss_Frequency	800x600	511x511	1.19309
Gauss_Frequency	800x600	729x729	2.51947
Gauss_Frequency	800x600	1023x1023	21.0093
Gauss_Frequency	960x540	3x3	0.731496
Gauss_Frequency	960x540	9x9	0.39279
Gauss_Frequency	960x540	27x27	0.795994
Gauss_Frequency	960x540	49x49	0.137893
Gauss_Frequency	960x540	81x81	0.202476
Gauss_Frequency	960x540	243x243	2.54598
Gauss_Frequency	960x540	399x399	1.06742
Gauss_Frequency	960x540	511x511	0.409497
Gauss_Frequency	960x540	729x729	4.86855
Gauss_Frequency	960x540	1023x1023	13.8855
Gauss_Frequency	1166x778	3x3	0.439195
Gauss_Frequency	1166x778	9x9	2.7977
Gauss_Frequency	1166x778	27x27	0.959207
Gauss_Frequency	1166x778	49x49	2.86073
Gauss_Frequency	1166x778	81x81	0.654968
Gauss_Frequency	1166x778	243x243	0.394138
Gauss_Frequency	1166x778	399x399	0.661297
Gauss_Frequency	1166x778	511x511	4.21672
Gauss_Frequency	1166x778	729x729	14.3683
Gauss_Frequency	1166x778	1023x1023	9.53543
Gauss_Frequency	1200x800	3x3	4.02644
Gauss_Frequency	1200x800	9x9	1.11318
Gauss_Frequency	1200x800	27x27	2.89781
Gauss_Frequency	1200x800	49x49	0.427114
Gauss_Frequency	1200x800	81x81	0.235951
Gauss_Frequency	1200x800	243x243	4.05021
Gauss_Frequency	1200x800	399x399	5.56729
Gauss_Frequency	1200x800	511x511	1.7075
Gauss_Frequency	1200x800	729x729	5.58402
Gauss_Frequency	1200x800	1023x1023	17.835
Gauss_Frequency	1920x1080	3x3	5.42877
Gauss_Frequency	1920x1080	9x9	2.58511
Gauss_Frequency	1920x1080	27x27	2.28274
Gauss_Frequency	1920x1080	49x49	1.20069
Gauss_Frequency	1920x1080	81x81	0.725842
Gauss_Frequency	1920x1080	243x243	9.02059
Gauss_Frequency	1920x1080	399x399	11.8148
Gauss_Frequency	1920x1080	511x511	1.6036
Gauss_Frequency	1920x1080	729x729	9.56953
Gauss_Frequency	1920x1080	1023x1023	66.4037
