Type	ImageSize	KernelSize	AvgTime
Gauss_Space	220x220	3x3	0.000304271
Gauss_Space	220x220	9x9	0.000315535
Gauss_Space	220x220	27x27	0.000955344
Gauss_Space	220x220	49x49	0.00128725
Gauss_Space	220x220	81x81	0.0022321
Gauss_Space	220x220	243x243	0.00705349
Gauss_Space	220x220	399x399	0.0111052
Gauss_Space	220x220	511x511	0.0138292
Gauss_Space	220x220	729x729	0.0188798
Gauss_Space	220x220	1023x1023	0.0262528
Gauss_Space	384x256	3x3	0.000166582
Gauss_Space	384x256	9x9	0.000772121
Gauss_Space	384x256	27x27	0.00171521
Gauss_Space	384x256	49x49	0.00271455
Gauss_Space	384x256	81x81	0.0043581
Gauss_Space	384x256	243x243	0.01343
Gauss_Space	384x256	399x399	0.0251613
Gauss_Space	384x256	511x511	0.0292045
Gauss_Space	384x256	729x729	0.0446456
Gauss_Space	384x256	1023x1023	0.0554267
Gauss_Space	480x361	3x3	0.000457056
Gauss_Space	480x361	9x9	0.00094524
Gauss_Space	480x361	27x27	0.00275533
Gauss_Space	480x361	49x49	0.00480457
Gauss_Space	480x361	81x81	0.00820995
Gauss_Space	480x361	243x243	0.0250216
Gauss_Space	480x361	399x399	0.0494667
Gauss_Space	480x361	511x511	0.0632518
Gauss_Space	480x361	729x729	0.115926
Gauss_Space	480x361	1023x1023	0.12655
Gauss_Space	512x512	3x3	0.000457955
Gauss_Space	512x512	9x9	0.00161477
Gauss_Space	512x512	27x27	0.00476595
Gauss_Space	512x512	49x49	0.00801036
Gauss_Space	512x512	81x81	0.0135626
Gauss_Space	512x512	243x243	0.0503425
Gauss_Space	512x512	399x399	0.0747099
Gauss_Space	512x512	511x511	0.0853461
Gauss_Space	512x512	729x729	0.122508
Gauss_Space	512x512	1023x1023	0.188118
Gauss_Space	766x395	3x3	0.000503133
Gauss_Space	766x395	9x9	0.00173809
Gauss_Space	766x395	27x27	0.00476561
Gauss_Space	766x395	49x49	0.00900055
Gauss_Space	766x395	81x81	0.0151224
Gauss_Space	766x395	243x243	0.053142
Gauss_Space	766x395	399x399	0.078637
Gauss_Space	766x395	511x511	0.100878
Gauss_Space	766x395	729x729	0.158416
Gauss_Space	766x395	1023x1023	0.220997
Gauss_Space	800x600	3x3	0.000833138
Gauss_Space	800x600	9x9	0.00254487
Gauss_Space	800x600	27x27	0.00808944
Gauss_Space	800x600	49x49	0.014147
Gauss_Space	800x600	81x81	0.021471
Gauss_Space	800x600	243x243	0.0752271
Gauss_Space	800x600	399x399	0.125992
Gauss_Space	800x600	511x511	0.153031
Gauss_Space	800x600	729x729	0.227611
Gauss_Space	800x600	1023x1023	0.290961
Gauss_Space	960x540	3x3	0.000986598
Gauss_Space	960x540	9x9	0.00315021
Gauss_Space	960x540	27x27	0.00932017
Gauss_Space	960x540	49x49	0.0165172
Gauss_Space	960x540	81x81	0.0261846
Gauss_Space	960x540	243x243	0.0840385
Gauss_Space	960x540	399x399	0.126061
Gauss_Space	960x540	511x511	0.17238
Gauss_Space	960x540	729x729	0.260727
Gauss_Space	960x540	1023x1023	0.377481
Gauss_Space	1166x778	3x3	0.00146626
Gauss_Space	1166x778	9x9	0.00482128
Gauss_Space	1166x778	27x27	0.0129262
Gauss_Space	1166x778	49x49	0.0235745
Gauss_Space	1166x778	81x81	0.0458707
Gauss_Space	1166x778	243x243	0.134537
Gauss_Space	1166x778	399x399	0.2342
Gauss_Space	1166x778	511x511	0.338935
Gauss_Space	1166x778	729x729	0.58674
Gauss_Space	1166x778	1023x1023	0.960164
Gauss_Space	1200x800	3x3	0.0016428
Gauss_Space	1200x800	9x9	0.00520408
Gauss_Space	1200x800	27x27	0.016561
Gauss_Space	1200x800	49x49	0.028526
Gauss_Space	1200x800	81x81	0.0566168
Gauss_Space	1200x800	243x243	0.166621
Gauss_Space	1200x800	399x399	0.325102
Gauss_Space	1200x800	511x511	0.353295
Gauss_Space	1200x800	729x729	0.600521
Gauss_Space	1200x800	1023x1023	0.871534
Gauss_Space	1920x1080	3x3	0.00334072
Gauss_Space	1920x1080	9x9	0.0105068
Gauss_Space	1920x1080	27x27	0.0289394
Gauss_Space	1920x1080	49x49	0.0591421
Gauss_Space	1920x1080	81x81	0.142354
Gauss_Space	1920x1080	243x243	0.344955
Gauss_Space	1920x1080	399x399	0.617341
Gauss_Space	1920x1080	511x511	0.962026
Gauss_Space	1920x1080	729x729	1.59564
Gauss_Space	1920x1080	1023x1023	2.62963
