Type	ImageSize	KernelSize	AvgTime
Linear_Frequency	220x220	3x3	0.0207419
Linear_Frequency	220x220	9x9	0.0143609
Linear_Frequency	220x220	27x27	0.0271929
Linear_Frequency	220x220	49x49	0.0461165
Linear_Frequency	220x220	81x81	0.0142561
Linear_Frequency	220x220	243x243	0.0581044
Linear_Frequency	220x220	399x399	0.363346
Linear_Frequency	220x220	511x511	0.384553
Linear_Frequency	220x220	729x729	0.687849
Linear_Frequency	220x220	1023x1023	0.545329
Linear_Frequency	384x256	3x3	0.105045
Linear_Frequency	384x256	9x9	0.0219709
Linear_Frequency	384x256	27x27	0.0530996
Linear_Frequency	384x256	49x49	0.0259088
Linear_Frequency	384x256	81x81	0.0396732
Linear_Frequency	384x256	243x243	0.527633
Linear_Frequency	384x256	399x399	0.359845
Linear_Frequency	384x256	511x511	1.56828
Linear_Frequency	384x256	729x729	0.943839
Linear_Frequency	384x256	1023x1023	1.18023
Linear_Frequency	480x361	3x3	0.20314
Linear_Frequency	480x361	9x9	0.0926861
Linear_Frequency	480x361	27x27	0.0792516
Linear_Frequency	480x361	49x49	0.390151
Linear_Frequency	480x361	81x81	0.051977
Linear_Frequency	480x361	243x243	0.229391
Linear_Frequency	480x361	399x399	1.35955
Linear_Frequency	480x361	511x511	0.436431
Linear_Frequency	480x361	729x729	1.11066
Linear_Frequency	480x361	1023x1023	10.4878
Linear_Frequency	512x512	3x3	0.57604
Linear_Frequency	512x512	9x9	0.0636835
Linear_Frequency	512x512	27x27	0.660297
Linear_Frequency	512x512	49x49	0.0634136
Linear_Frequency	512x512	81x81	0.14302
Linear_Frequency	512x512	243x243	0.250915
Linear_Frequency	512x512	399x399	0.25615
Linear_Frequency	512x512	511x511	0.797004
Linear_Frequency	512x512	729x729	0.620835
Linear_Frequency	512x512	1023x1023	1.64678
Linear_Frequency	766x395	3x3	0.526441
Linear_Frequency	766x395	9x9	0.139541
Linear_Frequency	766x395	27x27	0.61974
Linear_Frequency	766x395	49x49	0.749503
Linear_Frequency	766x395	81x81	0.154275
Linear_Frequency	766x395	243x243	0.173546
Linear_Frequency	766x395	399x399	0.746862
Linear_Frequency	766x395	511x511	1.23154
Linear_Frequency	766x395	729x729	8.43552
Linear_Frequency	766x395	1023x1023	3.10291
Linear_Frequency	800x600	3x3	0.931771
Linear_Frequency	800x600	9x9	0.292404
Linear_Frequency	800x600	27x27	0.846352
Linear_Frequency	800x600	49x49	0.196807
Linear_Frequency	800x600	81x81	0.149982
Linear_Frequency	800x600	243x243	3.45485
Linear_Frequency	800x600	399x399	5.58027
Linear_Frequency	800x600	511x511	1.19475
Linear_Frequency	800x600	729x729	2.52062
Linear_Frequency	800x600	1023x1023	21.013
Linear_Frequency	960x540	3x3	0.724111
Linear_Frequency	960x540	9x9	0.391417
Linear_Frequency	960x540	27x27	0.795956
Linear_Frequency	960x540	49x49	0.137919
Linear_Frequency	960x540	81x81	0.201687
Linear_Frequency	960x540	243x243	2.54701
Linear_Frequency	960x540	399x399	1.06893
Linear_Frequency	960x540	511x511	0.411504
Linear_Frequency	960x540	729x729	4.86631
Linear_Frequency	960x540	1023x1023	13.8818
Linear_Frequency	1166x778	3x3	0.437941
Linear_Frequency	1166x778	9x9	2.79378
Linear_Frequency	1166x778	27x27	0.958071
Linear_Frequency	1166x778	49x49	2.84599
Linear_Frequency	1166x778	81x81	0.656528
Linear_Frequency	1166x778	243x243	0.39582
Linear_Frequency	1166x778	399x399	0.658847
Linear_Frequency	1166x778	511x511	4.22043
Linear_Frequency	1166x778	729x729	14.4251
Linear_Frequency	1166x778	1023x1023	9.52262
Linear_Frequency	1200x800	3x3	4.02494
Linear_Frequency	1200x800	9x9	1.11006
Linear_Frequency	1200x800	27x27	2.91244
Linear_Frequency	1200x800	49x49	0.423666
Linear_Frequency	1200x800	81x81	0.235196
Linear_Frequency	1200x800	243x243	4.22298
Linear_Frequency	1200x800	399x399	5.58046
Linear_Frequency	1200x800	511x511	1.70805
Linear_Frequency	1200x800	729x729	5.58425
Linear_Frequency	1200x800	1023x1023	17.372
Linear_Frequency	1920x1080	3x3	5.36078
Linear_Frequency	1920x1080	9x9	2.51173
Linear_Frequency	1920x1080	27x27	2.27988
Linear_Frequency	1920x1080	49x49	1.16709
Linear_Frequency	1920x1080	81x81	0.719258
Linear_Frequency	1920x1080	243x243	8.82907
Linear_Frequency	1920x1080	399x399	11.8328
Linear_Frequency	1920x1080	511x511	1.60153
Linear_Frequency	1920x1080	729x729	9.62304
Linear_Frequency	1920x1080	1023x1023	66.5937
