Type	ImageSize	KernelSize	AvgTime
NonSepLinear_Space	220x220	3x3	0.000276246
NonSepLinear_Space	220x220	9x9	0.00210735
NonSepLinear_Space	220x220	27x27	0.0141741
NonSepLinear_Space	220x220	49x49	0.0453068
NonSepLinear_Space	220x220	81x81	0.121553
NonSepLinear_Space	220x220	243x243	1.08026
NonSepLinear_Space	220x220	399x399	2.98656
NonSepLinear_Space	220x220	511x511	5.02263
NonSepLinear_Space	220x220	729x729	10.4297
NonSepLinear_Space	220x220	1023x1023	21.3658
NonSepLinear_Space	384x256	3x3	0.000357985
NonSepLinear_Space	384x256	9x9	0.00294646
NonSepLinear_Space	384x256	27x27	0.0262096
NonSepLinear_Space	384x256	49x49	0.0879097
NonSepLinear_Space	384x256	81x81	0.240085
NonSepLinear_Space	384x256	243x243	2.25081
NonSepLinear_Space	384x256	399x399	6.15545
NonSepLinear_Space	384x256	511x511	10.7545
NonSepLinear_Space	384x256	729x729	22.4232
NonSepLinear_Space	384x256	1023x1023	43.9282
NonSepLinear_Space	480x361	3x3	0.000970939
NonSepLinear_Space	480x361	9x9	0.00601266
NonSepLinear_Space	480x361	27x27	0.0505109
NonSepLinear_Space	480x361	49x49	0.170352
NonSepLinear_Space	480x361	81x81	0.439907
NonSepLinear_Space	480x361	243x243	4.25983
NonSepLinear_Space	480x361	399x399	11.7787
NonSepLinear_Space	480x361	511x511	20.3689
NonSepLinear_Space	480x361	729x729	41.6709
NonSepLinear_Space	480x361	1023x1023	133.229
NonSepLinear_Space	512x512	3x3	0.00112954
NonSepLinear_Space	512x512	9x9	0.00906129
NonSepLinear_Space	512x512	27x27	0.0786139
NonSepLinear_Space	512x512	49x49	0.258052
NonSepLinear_Space	512x512	81x81	0.75447
NonSepLinear_Space	512x512	243x243	6.39324
NonSepLinear_Space	512x512	399x399	17.0489
NonSepLinear_Space	512x512	511x511	28.8066
NonSepLinear_Space	512x512	729x729	60.2806
NonSepLinear_Space	512x512	1023x1023	114.369
NonSepLinear_Space	766x395	3x3	0.00107956
NonSepLinear_Space	766x395	9x9	0.00936031
NonSepLinear_Space	766x395	27x27	0.080548
NonSepLinear_Space	766x395	49x49	0.267061
NonSepLinear_Space	766x395	81x81	0.788984
NonSepLinear_Space	766x395	243x243	7.24906
NonSepLinear_Space	766x395	399x399	19.2307
NonSepLinear_Space	766x395	511x511	32.6977
NonSepLinear_Space	766x395	729x729	68.2548
NonSepLinear_Space	766x395	1023x1023	133.669
NonSepLinear_Space	800x600	3x3	0.00206003
NonSepLinear_Space	800x600	9x9	0.0159695
NonSepLinear_Space	800x600	27x27	0.140558
NonSepLinear_Space	800x600	49x49	0.449524
NonSepLinear_Space	800x600	81x81	1.19399
NonSepLinear_Space	800x600	243x243	10.7761
NonSepLinear_Space	800x600	399x399	30.1595
NonSepLinear_Space	800x600	511x511	50.393
NonSepLinear_Space	800x600	729x729	105.604
NonSepLinear_Space	800x600	1023x1023	208.053
NonSepLinear_Space	960x540	3x3	0.00229304
NonSepLinear_Space	960x540	9x9	0.0191776
NonSepLinear_Space	960x540	27x27	0.169429
NonSepLinear_Space	960x540	49x49	0.530073
NonSepLinear_Space	960x540	81x81	1.2701
NonSepLinear_Space	960x540	243x243	11.6649
NonSepLinear_Space	960x540	399x399	32.2392
NonSepLinear_Space	960x540	511x511	55.4916
NonSepLinear_Space	960x540	729x729	114.111
NonSepLinear_Space	960x540	1023x1023	223.497
NonSepLinear_Space	1166x778	3x3	0.00344066
NonSepLinear_Space	1166x778	9x9	0.0273954
NonSepLinear_Space	1166x778	27x27	0.240421
NonSepLinear_Space	1166x778	49x49	0.849917
NonSepLinear_Space	1166x778	81x81	2.62022
NonSepLinear_Space	1166x778	243x243	20.5606
NonSepLinear_Space	1166x778	399x399	56.4747
NonSepLinear_Space	1166x778	511x511	97.8193
NonSepLinear_Space	1166x778	729x729	203.144
NonSepLinear_Space	1166x778	1023x1023	396.967
NonSepLinear_Space	1200x800	3x3	0.00404568
NonSepLinear_Space	1200x800	9x9	0.0317745
NonSepLinear_Space	1200x800	27x27	0.278585
NonSepLinear_Space	1200x800	49x49	1.10171
NonSepLinear_Space	1200x800	81x81	2.46863
NonSepLinear_Space	1200x800	243x243	21.8425
NonSepLinear_Space	1200x800	399x399	59.2587
NonSepLinear_Space	1200x800	511x511	101.073
NonSepLinear_Space	1200x800	729x729	211.172
NonSepLinear_Space	1200x800	1023x1023	415.899
NonSepLinear_Space	1920x1080	3x3	0.00766126
NonSepLinear_Space	1920x1080	9x9	0.0640394
NonSepLinear_Space	1920x1080	27x27	0.576452
NonSepLinear_Space	1920x1080	49x49	1.93113
NonSepLinear_Space	1920x1080	81x81	5.28546
NonSepLinear_Space	1920x1080	243x243	46.8329
NonSepLinear_Space	1920x1080	399x399	128.973
NonSepLinear_Space	1920x1080	511x511	219.308
NonSepLinear_Space	1920x1080	729x729	455.541
NonSepLinear_Space	1920x1080	1023x1023	892.733
