Type	ImageSize	KernelSize	AvgTime
SepLinear_Space	220x220	3x3	0.000721861
SepLinear_Space	220x220	9x9	0.00100172
SepLinear_Space	220x220	27x27	0.00240311
SepLinear_Space	220x220	49x49	0.00425673
SepLinear_Space	220x220	81x81	0.00710188
SepLinear_Space	220x220	243x243	0.0199619
SepLinear_Space	220x220	399x399	0.0322086
SepLinear_Space	220x220	511x511	0.0409618
SepLinear_Space	220x220	729x729	0.0598641
SepLinear_Space	220x220	1023x1023	0.0814272
SepLinear_Space	384x256	3x3	0.000728996
SepLinear_Space	384x256	9x9	0.00277368
SepLinear_Space	384x256	27x27	0.00466419
SepLinear_Space	384x256	49x49	0.00834214
SepLinear_Space	384x256	81x81	0.015548
SepLinear_Space	384x256	243x243	0.0453827
SepLinear_Space	384x256	399x399	0.0864237
SepLinear_Space	384x256	511x511	0.0951703
SepLinear_Space	384x256	729x729	0.141506
SepLinear_Space	384x256	1023x1023	0.186374
SepLinear_Space	480x361	3x3	0.00188349
SepLinear_Space	480x361	9x9	0.00342022
SepLinear_Space	480x361	27x27	0.00892314
SepLinear_Space	480x361	49x49	0.0154854
SepLinear_Space	480x361	81x81	0.0257976
SepLinear_Space	480x361	243x243	0.0761792
SepLinear_Space	480x361	399x399	0.1608
SepLinear_Space	480x361	511x511	0.186795
SepLinear_Space	480x361	729x729	0.341336
SepLinear_Space	480x361	1023x1023	0.465837
SepLinear_Space	512x512	3x3	0.00234007
SepLinear_Space	512x512	9x9	0.00490608
SepLinear_Space	512x512	27x27	0.0153419
SepLinear_Space	512x512	49x49	0.0290619
SepLinear_Space	512x512	81x81	0.0457011
SepLinear_Space	512x512	243x243	0.170351
SepLinear_Space	512x512	399x399	0.25537
SepLinear_Space	512x512	511x511	0.315625
SepLinear_Space	512x512	729x729	0.425321
SepLinear_Space	512x512	1023x1023	0.714002
SepLinear_Space	766x395	3x3	0.00234916
SepLinear_Space	766x395	9x9	0.00524674
SepLinear_Space	766x395	27x27	0.0149843
SepLinear_Space	766x395	49x49	0.0280914
SepLinear_Space	766x395	81x81	0.0483365
SepLinear_Space	766x395	243x243	0.165245
SepLinear_Space	766x395	399x399	0.262703
SepLinear_Space	766x395	511x511	0.337263
SepLinear_Space	766x395	729x729	0.533627
SepLinear_Space	766x395	1023x1023	0.711824
SepLinear_Space	800x600	3x3	0.00403543
SepLinear_Space	800x600	9x9	0.00899556
SepLinear_Space	800x600	27x27	0.0258178
SepLinear_Space	800x600	49x49	0.0431548
SepLinear_Space	800x600	81x81	0.0664274
SepLinear_Space	800x600	243x243	0.227054
SepLinear_Space	800x600	399x399	0.394887
SepLinear_Space	800x600	511x511	0.486354
SepLinear_Space	800x600	729x729	0.697106
SepLinear_Space	800x600	1023x1023	1.04003
SepLinear_Space	960x540	3x3	0.00522698
SepLinear_Space	960x540	9x9	0.0109925
SepLinear_Space	960x540	27x27	0.0305492
SepLinear_Space	960x540	49x49	0.0517959
SepLinear_Space	960x540	81x81	0.0817081
SepLinear_Space	960x540	243x243	0.280439
SepLinear_Space	960x540	399x399	0.417615
SepLinear_Space	960x540	511x511	0.537601
SepLinear_Space	960x540	729x729	0.814227
SepLinear_Space	960x540	1023x1023	1.16972
SepLinear_Space	1166x778	3x3	0.00691287
SepLinear_Space	1166x778	9x9	0.0152076
SepLinear_Space	1166x778	27x27	0.0416063
SepLinear_Space	1166x778	49x49	0.0746981
SepLinear_Space	1166x778	81x81	0.148328
SepLinear_Space	1166x778	243x243	0.405358
SepLinear_Space	1166x778	399x399	0.789505
SepLinear_Space	1166x778	511x511	1.0711
SepLinear_Space	1166x778	729x729	1.7426
SepLinear_Space	1166x778	1023x1023	2.55837
SepLinear_Space	1200x800	3x3	0.00812393
SepLinear_Space	1200x800	9x9	0.0179011
SepLinear_Space	1200x800	27x27	0.0486905
SepLinear_Space	1200x800	49x49	0.0872662
SepLinear_Space	1200x800	81x81	0.173253
SepLinear_Space	1200x800	243x243	0.452268
SepLinear_Space	1200x800	399x399	0.841662
SepLinear_Space	1200x800	511x511	1.08135
SepLinear_Space	1200x800	729x729	2.31424
SepLinear_Space	1200x800	1023x1023	2.73704
SepLinear_Space	1920x1080	3x3	0.0154487
SepLinear_Space	1920x1080	9x9	0.0346316
SepLinear_Space	1920x1080	27x27	0.0945545
SepLinear_Space	1920x1080	49x49	0.190502
SepLinear_Space	1920x1080	81x81	0.465079
SepLinear_Space	1920x1080	243x243	1.11817
SepLinear_Space	1920x1080	399x399	1.85576
SepLinear_Space	1920x1080	511x511	2.42502
SepLinear_Space	1920x1080	729x729	4.8661
SepLinear_Space	1920x1080	1023x1023	6.78787
